iter	MultiClass
236	0.5728474614
237	0.5716450206
238	0.5707003007
239	0.5696214669
240	0.5682209605
241	0.5675915483
242	0.5673423021
243	0.5659896509
244	0.5648325243
245	0.5635696126
246	0.5622424066
247	0.5610645964
248	0.5604746638
249	0.5599059973
250	0.559200621
251	0.5582549176
252	0.5575684397
253	0.5568748639
254	0.5555405318
255	0.5541031685
256	0.5534139538
257	0.553166834
258	0.5523261732
259	0.5517137251
260	0.5507760782
261	0.5501147984
262	0.549301216
263	0.548733266
264	0.548020568
265	0.5471741128
266	0.5460004792
267	0.5453676864
268	0.5437329168
269	0.5426534399
270	0.5420937102
271	0.5404833865
272	0.5396551081
273	0.5391094606
274	0.5378254232
275	0.5367728279
276	0.5364000674
277	0.535720496
278	0.5348352363
279	0.5340165651
280	0.533341802
281	0.5318986763
282	0.530824036
283	0.5295239972
284	0.5287768667
285	0.5275554591
286	0.5265415026
287	0.5255834514
288	0.5247041293
289	0.5232731645
290	0.5221570917
291	0.5210338055
292	0.52033126
293	0.5195030373
294	0.5191620554
295	0.5180841124
296	0.5171269062
297	0.5158352098
298	0.5153588146
299	0.5146250656
300	0.5136109523
301	0.5126397471
302	0.5116052833
303	0.5111781599
304	0.5101751643
305	0.5089768878
306	0.5079797316
307	0.5070361525
308	0.5059789014
309	0.5048307531
310	0.5040672568
311	0.5030750291
312	0.5021846143
313	0.5009412381
314	0.5001606707
315	0.4994405735
316	0.4982907928
317	0.4972392355
318	0.4965892916
319	0.495609962
320	0.4948516085
321	0.4940207701
322	0.4933990803
323	0.4922035719
324	0.4914519502
325	0.4908344875
326	0.4896574835
327	0.4882463618
328	0.4875213526
329	0.4867621613
330	0.4860927753
331	0.4849323142
332	0.4840330539
333	0.4830418152
334	0.48251481
335	0.4817016163
336	0.4811812585
337	0.4807125753
338	0.4798289539
339	0.4789268273
340	0.4782240471
341	0.4776589126
342	0.4768982647
343	0.4758986324
344	0.4748929936
345	0.4739628709
346	0.4733532868
347	0.4731628142
348	0.4721703622
349	0.4711509859
350	0.4700151837
351	0.46920929
352	0.4680549624
353	0.4676928761
354	0.4671262607
355	0.4663073728
356	0.4656843588
357	0.4641680389
358	0.4632494432
359	0.4625327416
360	0.4619862994
361	0.460937912
362	0.4605216509
363	0.4595862973
364	0.4585078442
365	0.4581948619
366	0.457396898
367	0.4571148402
368	0.4565008464
369	0.4558185708
370	0.4544341166
371	0.4536026869
372	0.4533135953
373	0.4520742493
374	0.4511742843
375	0.450265702
376	0.4498519255
377	0.4489496271
378	0.4485125598
379	0.4480399608
380	0.447608955
381	0.4473580796
382	0.4464564562
383	0.4452215546
384	0.4444254998
385	0.4434693993
386	0.4429670793
387	0.4420560985
388	0.4411209045
389	0.4405861926
390	0.4395645315
391	0.4393484783
392	0.4388499581
393	0.4384378833
394	0.4379633473
395	0.4373996112
396	0.4366985896
397	0.4360848953
398	0.4354608714
399	0.4348876533
400	0.4342891101
401	0.433375107
402	0.4325550472
403	0.4320179821
404	0.4314239911
405	0.4309781532
406	0.4294565089
407	0.4285588216
408	0.4275857243
409	0.4271843169
410	0.4263025227
411	0.4251022754
412	0.4241361999
413	0.4232382168
414	0.4228876375
415	0.4219263345
416	0.4207427269
417	0.4202628661
418	0.4193017154
419	0.4189779729
420	0.4184123781
421	0.4179182847
422	0.4170823377
423	0.4163202204
424	0.4156852778
425	0.4152905071
426	0.4147460488
427	0.414172543
428	0.4139000455
429	0.4128153259
430	0.411858204
431	0.4113583506
432	0.4111201017
433	0.4102637672
434	0.4096070451
435	0.4088751598
436	0.4083966683
437	0.4078184781
438	0.4071483555
439	0.4064441023
440	0.4056351093
441	0.4053090618
442	0.4046701706
443	0.4039728869
444	0.4032809551
445	0.4024403031
446	0.4015393053
447	0.4009189408
448	0.4001365848
449	0.3997174057
450	0.3990474742
451	0.3981172177
452	0.3974255535
453	0.3966592165
454	0.396024599
455	0.3954992782
456	0.3952806291
457	0.3948421435
458	0.3944087097
459	0.3938260919
460	0.3931933733
461	0.3927781365
462	0.392170773
463	0.3915690576
464	0.391182068
465	0.3906065244
466	0.3901255363
467	0.3891657146
468	0.388563116
469	0.387848363
470	0.3874533467
471	0.3868271326
472	0.3859296451
473	0.3854332063
474	0.3846667243
475	0.3838485571
476	0.3831358579
477	0.3825376509
478	0.3820324903
479	0.3809957517
480	0.3807168775
481	0.3801196918
482	0.3798337786
483	0.3794342224
484	0.3788988491
485	0.37832381
486	0.3777901124
487	0.3771601354
488	0.3763640974
489	0.3760052574
490	0.3754374715
491	0.3746984564
492	0.374259343
493	0.373650143
494	0.3731513608
495	0.3725089095
496	0.3719858345
497	0.3716323344
498	0.3712967711
499	0.3705552445
500	0.3702218287
501	0.3693493369
502	0.3689485808
503	0.368242952
504	0.3676092886
505	0.3670686374
506	0.3664088718
507	0.3656624177
508	0.3649751896
509	0.364430118
510	0.3637107087
511	0.3633033891
512	0.3627886912
513	0.3621508142
514	0.3616238669
515	0.3611449401
516	0.3604814451
517	0.3600396837
518	0.3594467617
519	0.3590290852
520	0.3587432027
521	0.3579965497
522	0.3575974753
523	0.3573524452
524	0.3567093403
525	0.3559309886
526	0.3552625484
527	0.3547034577
528	0.3541540666
529	0.3537975577
530	0.3533475686
531	0.3525250079
532	0.3521694871
533	0.3516624205
534	0.3511693744
535	0.3504850194
536	0.3499007976
537	0.3496489707
538	0.3492441768
539	0.3485990501
540	0.3481155213
541	0.3475409232
542	0.3470588993
543	0.346509339
544	0.3458220293
545	0.3453349406
546	0.3446944199
547	0.3442947176
548	0.3438587214
549	0.3428765316
550	0.3424026391
551	0.3419227833
552	0.3414805188
553	0.3410806916
554	0.3403208625
555	0.3398768727
556	0.3391235193
557	0.3387161182
558	0.3379730313
559	0.3373071171
560	0.3366668465
561	0.3359917742
562	0.3351509515
563	0.3346210132
564	0.3341594748
565	0.3335705896
566	0.3332501504
567	0.332550963
568	0.3322814074
569	0.3318423
570	0.3315079255
571	0.3309504757
572	0.330687175
573	0.3302735118
574	0.3299404549
575	0.3296386752
576	0.3292176525
577	0.329021729
578	0.3287335524
579	0.3285126437
580	0.3278897053
581	0.3275911015
582	0.3269954017
583	0.326757932
584	0.3263825033
585	0.3256740878
586	0.3251330121
587	0.3244316326
588	0.323742964
589	0.3231479703
590	0.3228183196
591	0.3225149581
592	0.3220348524
593	0.3217571737
594	0.3213080828
595	0.3207357137
596	0.3200612757
597	0.3196355549
598	0.3189748139
599	0.3182328727
600	0.3174065144
601	0.3172637916
602	0.3166925571
603	0.3162681251
604	0.3159642387
605	0.315401179
606	0.3146270735
607	0.3142100341
608	0.3138141677
609	0.3131053645
610	0.3123588568
611	0.311807313
612	0.3113670356
613	0.3108027318
614	0.3104155465
615	0.310220483
616	0.3097330706
617	0.3092811225
618	0.3086959409
619	0.3083729732
620	0.3076954106
621	0.3072737961
622	0.3069575496
623	0.3066164897
624	0.3059811525
625	0.3054000797
626	0.3049334026
627	0.3044349914
628	0.3038955542
629	0.3036292863
630	0.3032143047
631	0.3025640362
632	0.301638706
633	0.3014648808
634	0.3008101493
635	0.3001092129
636	0.2997348762
637	0.2995658811
638	0.29914373
639	0.2984696174
640	0.2980246149
641	0.2976885866
642	0.2972388295
643	0.2969115591
644	0.2964125683
645	0.2958207713
646	0.2951271269
647	0.2948014144
648	0.2945745336
649	0.2942436558
650	0.2940005674
651	0.2937550194
652	0.2932989669
653	0.2927324102
654	0.2925939209
655	0.2922276398
656	0.2916210272
657	0.2910828722
658	0.290262953
659	0.2897187414
660	0.2890695295
661	0.2886900448
662	0.2882434769
663	0.2878265094
664	0.2872709956
665	0.2870320107
666	0.2868027789
667	0.2864642897
668	0.2860132093
669	0.2858362593
670	0.2851541338
671	0.2848421008
672	0.2843661399
673	0.2839550399
674	0.2836544615
675	0.2832417593
676	0.2825898153
677	0.2821507897
678	0.281885937
679	0.2815747105
680	0.2812245627
681	0.2808120233
682	0.2800309022
683	0.2797489073
684	0.2792556776
685	0.2785855072
686	0.2782914956
687	0.2777498062
688	0.2772402979
689	0.276728482
690	0.2760857926
691	0.2759816232
692	0.2752891072
693	0.2746960649
694	0.2744948035
695	0.2739221115
696	0.2736797562
697	0.2729459123
698	0.2727390149
699	0.2721618123
700	0.2719300366
701	0.2714431064
702	0.2713002608
703	0.2709515099
704	0.2705966082
705	0.2702851937
706	0.2700322625
707	0.2697327641
708	0.2688972567
709	0.2686872228
710	0.2682219514
711	0.2679130538
712	0.2676483546
713	0.2674552059
714	0.267077374
715	0.2668846416
716	0.2664083446
717	0.2660368975
718	0.2654614632
719	0.2649657278
720	0.2643917733
721	0.2636875793
722	0.263423372
723	0.2627446237
724	0.262146005
725	0.2617931633
726	0.261521306
727	0.2613437251
728	0.2607757394
729	0.260198015
730	0.2598456737
731	0.2593039866
732	0.2590060872
733	0.2586089527
734	0.2582705584
735	0.2578479288
736	0.2575457329
737	0.2573630979
738	0.2570289156
739	0.2566327999
740	0.2563547492
741	0.2559380054
742	0.2556139775
743	0.2550844969
744	0.2548064335
745	0.2544326765
746	0.2540441972
747	0.2536898276
748	0.2533423798
749	0.2530837303
750	0.2524401582
751	0.2521145204
752	0.2516664766
753	0.2512765836
754	0.2507435171
755	0.2505307652
756	0.2503103717
757	0.2498335298
758	0.2492245892
759	0.2487473406
760	0.2481636178
761	0.2478664619
762	0.2476408861
763	0.2473039652
764	0.2469109778
765	0.2464530715
766	0.2461321412
767	0.24587875
768	0.2454960077
769	0.2449919364
770	0.2447434694
771	0.2444496158
772	0.2439298909
773	0.2437883658
774	0.2433664238
775	0.242938002
776	0.2426760661
777	0.2423010178
778	0.2420458959
779	0.2417633794
780	0.2414792615
781	0.2410629109
782	0.2405941738
783	0.2402266269
784	0.2397753492
785	0.2395143925
786	0.239188675
787	0.23882809
788	0.2383610039
789	0.2381183896
790	0.2377411519
791	0.2374519818
792	0.2371620424
793	0.2369520233
794	0.236704429
795	0.23633552
796	0.2357306063
797	0.2353150174
798	0.23495956
799	0.2344768791
800	0.2342270014
801	0.2339846338
802	0.2338581488
803	0.2335872093
804	0.2333637746
805	0.2329232116
806	0.2326144115
807	0.2323324387
808	0.2320462715
809	0.2316146343
810	0.2313852136
811	0.2312299448
812	0.2309432869
813	0.2304932411
814	0.2301327477
815	0.2299377273
816	0.229597927
817	0.2291750146
818	0.2290136933
819	0.2286916562
820	0.2283064701
821	0.2281273931
822	0.2279289278
823	0.2277873724
824	0.2275609901
825	0.227194362
826	0.2269491694
827	0.2264172874
828	0.2259084305
829	0.225736217
830	0.2254534219
831	0.2251723596
832	0.2249000564
833	0.2245156667
834	0.2242868751
835	0.2239433865
836	0.2235085259
837	0.2231225661
838	0.2228624882
839	0.2225102604
840	0.2222960603
841	0.2220151249
842	0.2215397937
843	0.2211603698
844	0.2206955517
845	0.2204053523
846	0.2200243821
847	0.2199013654
848	0.2195251238
849	0.2193724276
850	0.218897761
851	0.2187855265
852	0.2184549074
853	0.2179502355
854	0.2176063552
855	0.2173612817
856	0.2171519777
857	0.2168240978
858	0.2166449526
859	0.2163400686
860	0.2159719982
861	0.2155881216
862	0.2152297399
863	0.2150247413
864	0.2147790334
865	0.2145168773
866	0.2142321473
867	0.2137988386
868	0.2136126817
869	0.2132408603
870	0.2129331768
871	0.2126450947
872	0.2123404808
873	0.2121378182
874	0.2118279691
875	0.2115992679
876	0.2114624245
877	0.2112432982
878	0.210927805
879	0.210551341
880	0.2103614754
881	0.2101173861
882	0.2096016381
883	0.2092810959
884	0.2091241067
885	0.2090345922
886	0.2085793036
887	0.208401831
888	0.2081138574
889	0.2080191139
890	0.2078535414
891	0.2075336996
892	0.2072661448
893	0.2070685298
894	0.2067414121
895	0.2065265592
896	0.2063183299
897	0.2060919049
898	0.2057629136
899	0.205529877
900	0.2052487203
901	0.2049464599
902	0.2046744195
903	0.2045113908
904	0.2043243801
905	0.2040977063
906	0.2039178864
907	0.2037036657
908	0.2033130602
909	0.2030485595
910	0.202869801
911	0.2026855622
912	0.2022466271
913	0.2020557384
914	0.201830536
915	0.2017426772
916	0.2014727769
917	0.2011880591
918	0.2010005297
919	0.200823798
920	0.2004451256
921	0.2002865755
922	0.200057071
923	0.1998433398
924	0.1997637653
925	0.1995346395
926	0.1994803608
927	0.1990557676
928	0.1986061965
929	0.1982986924
930	0.198188334
931	0.1980970318
932	0.1977310887
933	0.1974770103
934	0.1971301221
935	0.1969681315
936	0.1966362485
937	0.1964549137
938	0.196144043
939	0.1958546674
940	0.1955843369
941	0.1953267979
942	0.1951559828
943	0.1949571574
944	0.1947025097
945	0.1943401679
946	0.1940508341
947	0.1938910676
948	0.1936019511
949	0.193352036
950	0.1928867805
951	0.1926720497
952	0.1925871021
953	0.1923270127
954	0.1921697566
955	0.191862716
956	0.1915887745
957	0.1913717446
958	0.1910524266
959	0.1906663252
960	0.190300166
961	0.1901049942
962	0.1899001434
963	0.1896923264
964	0.1894632189
965	0.1892743379
966	0.1890293357
967	0.1887409713
968	0.1882447825
969	0.1879400948
970	0.1876867885
971	0.1872776619
972	0.1871243991
973	0.1870124223
974	0.1868256894
975	0.186656949
976	0.186222917
977	0.1859106246
978	0.1857344057
979	0.1855984942
980	0.1853290605
981	0.184814844
982	0.1846264674
983	0.1844618937
984	0.1841259823
985	0.1838991893
986	0.1837229879
987	0.1834953924
988	0.1832889263
989	0.1830843273
990	0.1829091023
991	0.1826363723
992	0.1823046614
993	0.1820225027
994	0.1818791268
995	0.1816494856
996	0.1813850167
997	0.1809424856
998	0.1806262294
999	0.1804003854
