iter	Passed	Remaining
407	5843	8479
408	5857	8464
409	5871	8448
410	5884	8433
411	5899	8419
412	5913	8405
413	5927	8390
414	5940	8374
415	5955	8361
416	5969	8346
417	5982	8330
418	5998	8317
419	6015	8306
420	6028	8290
421	6042	8276
422	6054	8259
423	6068	8243
424	6081	8227
425	6094	8211
426	6108	8197
427	6122	8183
428	6137	8169
429	6152	8155
430	6164	8138
431	6176	8121
432	6189	8104
433	6204	8091
434	6216	8074
435	6231	8060
436	6242	8042
437	6257	8028
438	6269	8012
439	6283	7997
440	6296	7981
441	6309	7965
442	6322	7949
443	6335	7933
444	6347	7917
445	6360	7900
446	6373	7884
447	6386	7869
448	6400	7854
449	6414	7840
450	6429	7826
451	6441	7810
452	6456	7795
453	6468	7778
454	6481	7763
455	6494	7747
456	6509	7734
457	6522	7718
458	6536	7704
459	6549	7688
460	6561	7671
461	6575	7656
462	6588	7641
463	6603	7627
464	6618	7614
465	6630	7598
466	6642	7581
467	6658	7568
468	6671	7553
469	6685	7538
470	6699	7524
471	6714	7510
472	6727	7495
473	6741	7480
474	6754	7465
475	6769	7451
476	6782	7437
477	6795	7420
478	6808	7405
479	6822	7390
480	6835	7375
481	6849	7360
482	6862	7345
483	6875	7330
484	6891	7318
485	6905	7303
486	6920	7290
487	6934	7276
488	6948	7261
489	6964	7248
490	6977	7233
491	6992	7220
492	7005	7204
493	7020	7190
494	7035	7177
495	7049	7163
496	7062	7147
497	7076	7133
498	7088	7117
499	7102	7102
500	7116	7087
501	7128	7071
502	7143	7058
503	7157	7044
504	7169	7027
505	7182	7011
506	7194	6996
507	7207	6980
508	7220	6964
509	7234	6950
510	7248	6936
511	7260	6920
512	7273	6904
513	7287	6890
514	7299	6874
515	7314	6860
516	7329	6847
517	7343	6833
518	7356	6818
519	7372	6805
520	7386	6791
521	7400	6776
522	7414	6762
523	7427	6747
524	7443	6734
525	7458	6720
526	7474	6708
527	7488	6694
528	7503	6681
529	7518	6666
530	7531	6652
531	7546	6638
532	7560	6624
533	7572	6608
534	7585	6593
535	7601	6580
536	7616	6567
537	7629	6551
538	7642	6536
539	7657	6523
540	7669	6507
541	7684	6493
542	7697	6478
543	7710	6463
544	7724	6448
545	7738	6434
546	7750	6418
547	7764	6404
548	7777	6388
549	7790	6374
550	7803	6358
551	7816	6343
552	7832	6330
553	7845	6315
554	7859	6301
555	7874	6288
556	7888	6273
557	7902	6259
558	7916	6245
559	7929	6230
560	7944	6216
561	7959	6203
562	7973	6189
563	7988	6175
564	8000	6159
565	8013	6144
566	8026	6129
567	8040	6115
568	8052	6099
569	8066	6084
570	8079	6070
571	8093	6056
572	8107	6041
573	8121	6027
574	8134	6012
575	8147	5997
576	8159	5981
577	8173	5967
578	8186	5952
579	8199	5937
580	8213	5923
581	8226	5908
582	8239	5893
583	8251	5878
584	8265	5863
585	8278	5848
586	8291	5833
587	8305	5819
588	8317	5804
589	8331	5789
590	8344	5774
591	8357	5760
592	8372	5746
593	8388	5733
594	8402	5719
595	8416	5704
596	8432	5692
597	8445	5677
598	8459	5663
599	8472	5648
600	8486	5633
601	8500	5619
602	8513	5605
603	8526	5590
604	8539	5575
605	8552	5560
606	8567	5546
607	8580	5532
608	8595	5518
609	8609	5504
610	8625	5491
611	8639	5477
612	8654	5464
613	8668	5449
614	8683	5436
615	8698	5422
616	8715	5409
617	8731	5396
618	8745	5383
619	8759	5369
620	8772	5354
621	8786	5339
622	8800	5325
623	8814	5311
624	8827	5296
625	8841	5282
626	8856	5268
627	8872	5255
